Datum,Todesfälle,Aktive,Genesungen
25.2.2020,0,1,0
26.2.2020,0,2,0
27.2.2020,0,4,0
28.2.2020,0,25,0
29.2.2020,0,30,0
1.3.2020,0,66,0
2.3.2020,0,86,0
3.3.2020,0,101,0
4.3.2020,0,115,0
5.3.2020,0,181,0
6.3.2020,0,329,0
7.3.2020,0,373,0
8.3.2020,0,398,0
9.3.2020,0,484,0
10.3.2020,2,646,0
11.3.2020,3,792,6
12.3.2020,4,1031,6
13.3.2020,4,1402,27
14.3.2020,5,1604,27
15.3.2020,6,2067,27
16.3.2020,8,2697,39
17.3.2020,13,3323,39
18.3.2020,13,4188,67
19.3.2020,17,4879,75
20.3.2020,22,6152,127
21.3.2020,24,6667,158
22.3.2020,33,7165,163
23.3.2020,41,7996,187
24.3.2020,54,8511,522
25.3.2020,66,8943,755
26.3.2020,82,10029,837
27.3.2020,92,10932,1090
28.3.2020,105,11175,1464
29.3.2020,110,11787,1733
30.3.2020,138,12220,2084
31.3.2020,148,11712,3381
1.4.2020,180,11779,4385
2.4.2020,202,12005,5407
3.4.2020,224,12120,6213
4.4.2020,250,12942,6213
5.4.2020,258,14052,6213
6.4.2020,297,12427,8090
7.4.2020,363,12250,9212
8.4.2020,413,12548,9888
9.4.2020,456,12324,10825
10.4.2020,502,12297,11700
11.4.2020,534,12941,12176
12.4.2020,569,12932,12832
13.4.2020,613,13055,13316
14.4.2020,662,12677,13867
15.4.2020,703,12234,14746
16.4.2020,760,11391,15849
17.4.2020,808,10776,17023
18.4.2020,862,10791,17502
19.4.2020,882,10662,18036
20.4.2020,882,10285,18413
21.4.2020,897,10039,18644
22.4.2020,968,9643,19678
23.4.2020,1008,10043,19678
24.4.2020,1052,9820,20257
25.4.2020,1084,9969,20412
26.4.2020,1096,8690,21883
27.4.2020,1131,8865,21883
28.4.2020,1171,8662,22351
29.4.2020,1200,7674,23555
30.4.2020,1219,7096,24372
1.5.2020,1261,6903,24894
2.5.2020,1268,6594,25354
3.5.2020,1287,6301,25840
4.5.2020,1290,6430,25840
5.5.2020,1332,3796,28600
6.5.2020,1358,3619,29000
7.5.2020,1372,3477,29400
8.5.2020,1397,3425,29700
9.5.2020,1424,3393,30000
10.5.2020,1425,3339,30200
11.5.2020,1437,3295,30400
12.5.2020,1456,3177,30700
13.5.2020,1473,3382,30700
14.5.2020,1473,3382,30700